ltl_score,prism_probability,evaluation_time,size,goals,obstacles,complexity
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",863.5759658813477,8,3,11,20
1.0,"{'goal1': 0.0, 'goal2': 0.551999999448, 'goal3': 0.0, 'seq_1_before_2': 0.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",864.3650333881378,8,3,12,19
0.9803939760953275,"{'goal1': 1.0, 'goal2': 0.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",850.5948419570923,8,3,6,11
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",881.8099510669708,8,3,16,25
0.6666666666666666,"{'goal1': 1.0, 'goal2': 0.0, 'goal3': 0.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",842.5052700042725,8,3,15,21
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",841.2974622249603,8,3,10,14
0.9897609930761895,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 0.0, 'seq_1_before_2': 0.0, 'seq_2_before_3': 1.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",859.1041736602783,8,3,13,25
0.837575161904847,"{'goal1': 0.0, 'goal2': 0.0, 'goal3': 0.0, 'seq_1_before_2': 0.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",831.520293712616,8,3,12,13
0.9617149115478858,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.0, 'seq_2_before_3': 1.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",878.3034331798553,8,3,16,17
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 0.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",846.0014917850494,9,3,15,25
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 0.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",852.5929923057556,9,3,22,16
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",868.7711987495422,9,3,8,18
